grootheid.code;grootheid.omschrijving;parameter.code;parameter.omschrijving;waarneminggroep;datagroep
NA;NA;Pyr;pyreen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;Pyr;pyreen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;Se;seleen;Metalen;
NA;NA;Sn;tin;Metalen;
NA;NA;Ti;titaan;Metalen;
NA;NA;U;uranium;Metalen;
NA;NA;V;vanadium;Metalen;
NA;NA;Zn;zink;Metalen;
NA;NA;123TClC3a;1,2,3-trichloorpropaan;NA;
NA;NA;1245T4ClBen;1,2,4,5-tetrachloorbenzeen;NA;
NA;NA;124TC1yBen;1,2,4-trimethylbenzeen;NA;
NA;NA;124TClBen;1,2,4-trichloorbenzeen;NA;
NA;NA;12DClBen;1,2-dichloorbenzeen;NA;
NA;NA;135TC1yBen;1,3,5-trimethylbenzeen;NA;
NA;NA;135TClBen;1,3,5-trichloorbenzeen;NA;
NA;NA;13DClBen;1,3-dichloorbenzeen;NA;
NA;NA;13DClC3a;1,3-dichloorpropaan;NA;
NA;NA;3ClFol;3-chloorfenol;Chloorfenolen (CP’s);
NA;NA;13xyln;1,3-xyleen;NA;
NA;NA;14DClBen;1,4-dichloorbenzeen;NA;
NA;NA;1C3yBen;1-propylbenzeen;NA;
NA;NA;1Cl2NO2Ben;1-chloor-2-nitrobenzeen;NA;
NA;NA;NKj;stikstof Kjeldahl;Algemeen/Nutriënten;eutrofiering
NA;NA;aedsfn;alfa-endosulfan;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;aHCH;alfa-hexachloorcyclohexaan;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;aHCH;alfa-hexachloorcyclohexaan;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;aldn;aldrin;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;bHCH;beta-hexachloorcyclohexaan;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;bHCH;beta-hexachloorcyclohexaan;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;cHCH;gamma-hexachloorcyclohexaan (lindaan);Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;cHCH;gamma-hexachloorcyclohexaan (lindaan);Diverse PAK’s, OCB’s, PCB’s;
NA;NA;cHpClepO;cis-heptachloorepoxide;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;DC4ySn;dibutyltin (kation);Organotinverbindingen;
NA;NA;1Cl3NO2Ben;1-chloor-3-nitrobenzeen;NA;
NA;NA;dieldn;dieldrin;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;dieldn;dieldrin;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;endn;endrin;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;HCB;hexachloorbenzeen;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;HCB;hexachloorbenzeen;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;HCB;hexachloorbenzeen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;HCB;hexachloorbenzeen;Polychloorbifenylen (PCB’s);
NA;NA;HpCl;heptachloor;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;HxClbtDen;hexachloorbutadieen;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;HxClbtDen;hexachloorbutadieen;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;HxClbtDen;hexachloorbutadieen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;HxClbtDen;hexachloorbutadieen;Polychloorbifenylen (PCB’s);
NA;NA;idn;isodrin;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;MC4ySn;monobutyltin (kation);Organotinverbindingen;
NA;NA;1Cl4NO2Ben;1-chloor-4-nitrobenzeen;NA;
NA;NA;PCB101;2,2',4,5,5'-pentachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB101;2,2',4,5,5'-pentachloorbifenyl;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PCB101;2,2',4,5,5'-pentachloorbifenyl;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;PCB105;2,3,3',4,4'-pentachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB118;2,3',4,4',5-pentachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB118;2,3',4,4',5-pentachloorbifenyl;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PCB118;2,3',4,4',5-pentachloorbifenyl;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;PCB138;2,2',3,4,4',5'-hexachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB138;2,2',3,4,4',5'-hexachloorbifenyl;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PCB138;2,2',3,4,4',5'-hexachloorbifenyl;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;PCB153;2,2',4,4',5,5'-hexachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB153;2,2',4,4',5,5'-hexachloorbifenyl;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PCB153;2,2',4,4',5,5'-hexachloorbifenyl;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;PCB170;2,2',3,3',4,4',5-heptachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB18;2,2',5-trichloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB180;2,2',3,4,4',5,5'-heptachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB180;2,2',3,4,4',5,5'-heptachloorbifenyl;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PCB180;2,2',3,4,4',5,5'-heptachloorbifenyl;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;PCB187;2,2',3,4',5,5',6-heptachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB28;2,4,4'-trichloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB28;2,4,4'-trichloorbifenyl;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PCB28;2,4,4'-trichloorbifenyl;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;PCB31;2,4',5-trichloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB44;2,2',3,5'-tetrachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB52;2,2',5,5'-tetrachloorbifenyl;Polychloorbifenylen (PCB’s);
NA;NA;PCB52;2,2',5,5'-tetrachloorbifenyl;Polychloorbifenylen (PCB’s) en Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PCB52;2,2',5,5'-tetrachloorbifenyl;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;PeClBen;pentachloorbenzeen;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;PeClBen;pentachloorbenzeen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;PeClFol;pentachloorfenol;Fenolen en anilinen;
NA;NA;TC4ySn;tributyltin (kation);Organotinverbindingen;
NA;NA;2255T4C4yT4H;2,2,5,5,-tetramethyl-tetrahydrofuran;NA;
NA;NA;tHpClepO;trans-heptachloorepoxide;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;tHpClepO;trans-heptachloorepoxide;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;2345T4ClFol;2,3,4,5-tetrachloorfenol;NA;
NA;NA;2346T4ClFol;2,3,4,6-tetrachloorfenol;NA;
NA;NA;234TClFol;2,3,4-trichloorfenol;NA;
NA;NA;2356T4ClFol;2,3,5,6-tetrachloorfenol;NA;
NA;NA;235TClFol;2,3,5-trichloorfenol;NA;
NA;NA;236TClFol;2,3,6-trichloorfenol;NA;
NA;NA;23DClAn;2,3-dichlooraniline;NA;
NA;NA;23DClFol;2,3-dichloorfenol;NA;
NA;NA;23DClNO2Ben;2,3-dichloornitrobenzeen;NA;
NA;NA;245T;2,4,5-trichloorfenoxyazijnzuur;NA;
NA;NA;245TClAn;2,4,5-trichlooraniline;NA;
NA;NA;245TClFol;2,4,5-trichloorfenol;NA;
NA;NA;245TP;2,4,5-trichloorfenoxypropionzuur;NA;
NA;NA;24DDT;2,4'-dichloordifenyltrichloorethaan;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;246TC1yprdne;2,4,6-trimethylpyridine;NA;
NA;NA;246TClFol;2,4,6-trichloorfenol;NA;
NA;NA;44DDD;4,4'-dichloordifenyldichloorethaan;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;44DDD;4,4'-dichloordifenyldichloorethaan;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;44DDE;4,4'-dichloordifenyldichlooretheen;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;44DDE;4,4'-dichloordifenyldichlooretheen;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;44DDT;4,4'-dichloordifenyltrichloorethaan;Organochloorbestrijdingsmiddelen (OCB’s);
NA;NA;44DDT;4,4'-dichloordifenyltrichloorethaan;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;GR;Gloeirest;Veldmetingen;eutrofiering
NA;NA;O2;zuurstof;Veldmetingen;eutrofiering
NA;NA;CHLFa;chlorofyl-a;Biologische parameters;eutrofiering
NA;NA;GEUR;Geur;Zintuiglijke waarnemingen biota;
NA;NA;GEUR;Geur;Veldmetingen;
NA;NA;KLEUR;Kleur;Veldmetingen;eutrofiering
NA;NA;OLE;Olie;Veldmetingen;
NA;NA;SCHUIM;Schuim;Veldmetingen;
NA;NA;VUIL;Vuil;Veldmetingen;
NA;NA;Ag110m;zilver 110m (metastabiel);Radiochemische parameters;
NA;NA;Am241;americium 241;Radiochemische parameters;
NA;NA;Be7;beryllium 7;Radiochemische parameters;
NA;NA;Cs134;cesium 134;Radiochemische parameters;
NA;NA;H3;tritium;Radiochemische parameters;
NA;NA;In111;indium 111;Radiochemische parameters;
NA;NA;K40;kalium 40;Radiochemische parameters;
NA;NA;Lu177;lutetium 177;Radiochemische parameters;
NA;NA;Mn54;mangaan 54;Radiochemische parameters;
NA;NA;24DB;2,4-dichloorfenoxyboterzuur;NA;
NA;NA;Ra226;radium 226;Radiochemische parameters;
NA;NA;Ra228;radium 228;Radiochemische parameters;
NA;NA;Ru103;ruthenium 103;Radiochemische parameters;
NA;NA;Ru106;ruthenium 106;Radiochemische parameters;
NA;NA;Sr90;strontium 90;Radiochemische parameters;
NA;NA;Tc99;technetium 99;Radiochemische parameters;
NA;NA;Tl201;thallium 201;Radiochemische parameters;
NA;NA;24DClAn;2,4-dichlooraniline;NA;
NA;NA;24DClNO2Ben;2,4-dichloornitrobenzeen;NA;
NA;NA;Zn65;zink 65;Radiochemische parameters;
NA;NA;Ntot;stikstof totaal;Algemeen/Nutriënten;eutrofiering
NA;NA;sNO3NO2;som nitraat en nitriet;Algemeen/Nutriënten;eutrofiering
NA;NA;CZV;Chemisch zuurstofverbruik;Algemeen/Nutriënten;eutrofiering
NA;NA;Br;bromide;Algemeen/Nutriënten;
NA;NA;BZV5;Biochemisch zuurstofverbruik over 5 dagen;Algemeen/Nutriënten;eutrofiering
NA;NA;BZV5a;Biochemisch zuurstofverbruik met allylthioureum;Algemeen/Nutriënten;eutrofiering
NA;NA;F;fluoride;Algemeen/Nutriënten;
NA;NA;HCO3;waterstofcarbonaat;Algemeen/Nutriënten;
NA;NA;OS;Onopgeloste stoffen;Veldmetingen;
NA;NA;24DNO2Fol;2,4-dinitrofenol;NA;
NA;NA;ZS;Zwevende stof;Algemeen/Nutriënten;eutrofiering
NA;NA;T4C4ySn;tetrabutyltin;Organotinverbindingen;
NA;NA;E_COLI;Escherichia coli;PAK-metabolieten_gal;
NA;NA;25DClAn;2,5-dichlooraniline;NA;
NA;NA;25DClNO2Ben;2,5-dichloornitrobenzeen;NA;
NA;NA;TOTCLS;Totaal Coli's (incubatie bij 37 C);Microbiologische parameters;
NA;NA;26DClAn;2,6-dichlooraniline;NA;
NA;NA;26DClFol;2,6-dichloorfenol;NA;
NA;NA;2C1yNaf;2-methylnaftaleen;NA;
NA;NA;2C1yqnlne;2-methylquinoline;NA;
NA;NA;Cs;cesium;Metalen;
NA;NA;Rb;rubidium;Metalen;
NA;NA;Sr;strontium;Metalen;
NA;NA;abmtne;abamectine;Diverse organische stoffen;
NA;NA;AcNe;acenafteen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;2C2yTol;2-ethyltolueen;NA;
NA;NA;AcNy;acenaftyleen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;2ClAn;2-chlooraniline;NA;
NA;NA;alCl;alachloor;Polaire bestrijdingmiddelen (PBM);
NA;NA;2ClFol;2-chloorfenol;NA;
NA;NA;345TClFol;3,4,5-trichloorfenol;NA;
NA;NA;atzne;atrazine;Polaire bestrijdingmiddelen (PBM);
NA;NA;bedsfn;beta-endosulfan;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;Ben;benzeen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;bentzn;bentazon;Chloorfenoxyalkaanzuren (CFAZ);
NA;NA;34DClAn;3,4-dichlooraniline;NA;
NA;NA;34DClFol;3,4-dichloorfenol;NA;
NA;NA;34DClNO2Ben;3,4-dichloornitrobenzeen;NA;
NA;NA;35DClAn;3,5-dichlooraniline;NA;
NA;NA;35DClFol;3,5-dichloorfenol;NA;
NA;NA;3C1yprdne;3-methylpyridine;NA;
NA;NA;3C2yTol;3-ethyltolueen;NA;
NA;NA;3ClAn;3-chlooraniline;NA;
NA;NA;4C2yTol;4-ethyltolueen;NA;
NA;NA;4ClAn;4-chlooraniline;NA;
NA;NA;ClBen;chloorbenzeen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;4ClFol;4-chloorfenol;NA;
NA;NA;4NO2Fol;4-nitrofenol;NA;
NA;NA;4Ooifrn;4-oxoisoforon;NA;
NA;NA;Clfvfs;chloorfenvinfos;Polaire bestrijdingmiddelen (PBM);
NA;NA;Clidzn;chloridazon;Diverse organische stoffen;
NA;NA;acnfn;aclonifen;NA;
NA;NA;actfnn;acetofenon;NA;
NA;NA;Cltlrn;chloortoluron;Polaire bestrijdingmiddelen (PBM);
NA;NA;alDcb;aldicarb;NA;
NA;NA;AMPA;aminomethylfosfonzuur;NA;
NA;NA;cumn;cumeen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;benzfnn;benzofenon;NA;
NA;NA;benzntl;benzonitril;NA;
NA;NA;C1yazfs;methylazinfos;Matig polaire verbindingen;
NA;NA;C1ymsfrn;methyl-metsulfuron;Chloorfenoxyalkaanzuren (CFAZ);
NA;NA;BeP;benzo(e)pyreen;NA;
NA;NA;bfnx;bifenox;NA;
NA;NA;biFy;bifenyl;NA;
NA;NA;bittnl;bitertanol;NA;
NA;NA;BrO3;bromaat;NA;
NA;NA;c12DClC2e;cis-1,2-dichlooretheen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;bromcl;bromacil;NA;
NA;NA;C2yazfs;ethylazinfos;Matig polaire verbindingen;
NA;NA;C2yBen;ethylbenzeen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;butcbOxm;butocarboxim;NA;
NA;NA;C;koolstof;NA;
NA;NA;Daznn;diazinon;Matig polaire verbindingen;
NA;NA;c13DClC3e;cis-1,3-dichloorpropeen;NA;
NA;NA;C1ymtclt;methylmethacrylaat;NA;
NA;NA;C1yOxdmtn;methyloxydemeton;NA;
NA;NA;C1yprmfs;methylpirimifos;NA;
NA;NA;C1yprton;methylparathion;NA;
NA;NA;DClC1a;dichloormethaan;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;C1yttC4yEtr;methyl-tertiair-butylether;NA;
NA;NA;DClvs;dichloorvos;Polaire bestrijdingmiddelen (PBM);
NA;NA;C2yClprfs;ethylchloorpyrifos;NA;
NA;NA;C2yprton;ethylparathion;NA;
NA;NA;captn;captan;NA;
NA;NA;carbdzm;carbendazim;NA;
NA;NA;DEHP;bis(2-ethylhexyl)ftalaat (DEHP);Diverse organische stoffen;
NA;NA;carbfrn;carbofuran;NA;
NA;NA;Clbmrn;chloorbromuron;NA;
NA;NA;dHCH;delta-hexachloorcyclohexaan;Diverse PAK’s, OCB’s, PCB’s;
NA;NA;ClC2e;chlooretheen (vinylchloride);NA;
NA;NA;ClFAn;chloorfluoraniline;NA;
NA;NA;Dmtat;dimethoaat;Polaire bestrijdingmiddelen (PBM);
NA;NA;dmtn;deltamethrin;Matig polaire verbindingen;
NA;NA;DmtnmdP;dimethenamid-P;Diverse organische stoffen;
NA;NA;Cloxrn;chlooroxuron;NA;
NA;NA;Clpfm;chloorprofam;NA;
NA;NA;CN;cyanide;NA;
NA;NA;cumfs;cumafos;NA;
NA;NA;cycC6a;cyclohexaan;NA;
NA;NA;cypmtn;cypermethrin;NA;
NA;NA;DBahAnt;dibenzo(a,h)antraceen;NA;
NA;NA;DBrC1a;dibroommethaan;NA;
NA;NA;DBrClC1a;dibroomchloormethaan;NA;
NA;NA;Durn;diuron;Polaire bestrijdingmiddelen (PBM);
NA;NA;DC1oxC1a;dimethoxymethaan;NA;
NA;NA;esfvlrt;esfenvaleraat;Matig polaire verbindingen;
NA;NA;DC1yDS;dimethyldisulfide;NA;
NA;NA;DC2yFt;diethylftalaat;NA;
NA;NA;Dcbnl;dichlobenil;NA;
NA;NA;fenamfs;fenamifos;Matig polaire verbindingen;
NA;NA;fenOxcb;fenoxycarb;Matig polaire verbindingen;
NA;NA;feNO2ton;fenitrothion;Matig polaire verbindingen;
NA;NA;fenton;fenthion;Matig polaire verbindingen;
NA;NA;FEOa;Feofytine a;Biologische parameters;eutrofiering
NA;NA;Fle;fluoreen;Polycyclische aromatisch koolwaterstoffen (PAK’s);
NA;NA;DccPeDen;dicyclopentadieen;NA;
NA;NA;DClBrC1a;dichloorbroommethaan;NA;
NA;NA;DClDiC3yEtr;2,2'-Dichloordiisopropyl ether;NA;
NA;NA;DEET;diethyltoluamide;NA;
NA;NA;desC2yatzne;desethylatrazine;NA;
NA;NA;heptnfs;heptenofos;Matig polaire verbindingen;
NA;NA;HxClC2a;hexachloorethaan;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;imdcpd;imidacloprid;Diverse organische stoffen;
NA;NA;Dfbzrn;diflubenzuron;NA;
NA;NA;DFySn;difenyltin (kation);NA;
NA;NA;iptrn;isoproturon;Polaire bestrijdingmiddelen (PBM);
NA;NA;irgrl;irgarol;Polaire bestrijdingmiddelen (PBM);
NA;NA;DiC3yEtr;diisopropylether;NA;
NA;NA;linrn;linuron;Polaire bestrijdingmiddelen (PBM);
NA;NA;malton;malathion;Matig polaire verbindingen;
NA;NA;MCPA;2-methyl-4-chloorfenoxyazijnzuur;Chloorfenoxyalkaanzuren (CFAZ);
NA;NA;DmtAd;dimethenamide;NA;
NA;NA;MCPP;mecoprop;Chloorfenoxyalkaanzuren (CFAZ);
NA;NA;Dnbtn;dinobuton;NA;
NA;NA;DNOC;4,6-dinitro-o-cresol;NA;
NA;NA;metbtazrn;metabenzthiazuron;Polaire bestrijdingmiddelen (PBM);
NA;NA;Dnsactt;dinoseb-acetaat;NA;
NA;NA;metlCl;metolachloor;Polaire bestrijdingmiddelen (PBM);
NA;NA;Dnsb;dinoseb;NA;
NA;NA;Dntb;dinoterb;NA;
NA;NA;dodne;dodine;NA;
NA;NA;DS;Droge stof;NA;
NA;NA;mevfs;mevinfos;Matig polaire verbindingen;
NA;NA;Mlnrn;monolinuron;Diverse organische stoffen;
NA;NA;Dsftn;disulfoton;NA;
NA;NA;Dtann;dithianon;NA;
NA;NA;DTPA;di-ethyleentriaminepentaazijnzuur (DTPA);NA;
NA;NA;EDTA;ethyleendiaminetetraethaanzuur (EDTA);NA;
NA;NA;etfmst;ethofumesaat;NA;
NA;NA;PBDE100;2,2',4,4',6-pentabroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;PBDE138;2,2',3,4,4',5'-hexabroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;PBDE153;2,2',4,4',5,5'-hexabroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;PBDE154;2,2',4,4',5,6'-hexabroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;PBDE28;2,4,4'-tribroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;PBDE47;2,2',4,4'-tetrabroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;PBDE49;2,2',4,5'-tetrabroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;PBDE85;2,2',3,4,4'-pentabroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;PBDE99;2,2',4,4',5-pentabroomdifenylether;Polybroomdifenylethers (brandvertragers, PBDE’s);
NA;NA;etofcb;ethiofencarb;NA;
NA;NA;pirmcb;pirimicarb;Polaire bestrijdingmiddelen (PBM);
NA;NA;etpfs;ethoprofos;NA;
NA;NA;flurOxpr;fluroxypyr;NA;
NA;NA;flutlnl;flutolanil;NA;
NA;NA;glufsnt;glufosinaat;NA;
NA;NA;glufsntNH4;glufosinaat-ammonium;NA;
NA;NA;glyfst;glyfosaat;NA;
NA;NA;GV;Gloeiverlies;NA;
NA;NA;imzll;imazalil;NA;
NA;NA;INTTNLETRCCN;Intestinale enterococcen;NA;
NA;NA;ipDon;iprodion;NA;
NA;NA;lcyhltn;lambda-cyhalothrin;NA;
NA;NA;simzne;simazine;Polaire bestrijdingmiddelen (PBM);
NA;NA;MCPB;2-methyl-4-chloorfenoxyboterzuur;NA;
NA;NA;medntactt;medinoterbacetaat;NA;
NA;NA;styrn;styreen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;metbmrn;metobromuron;NA;
NA;NA;s4C9yFol;som 4-nonylfenol-isomeren (vertakt);Fenolen en anilinen;
NA;NA;metbzn;metribuzin;NA;
NA;NA;metml;methomyl;NA;
NA;NA;Tazfs;triazofos;Matig polaire verbindingen;
NA;NA;metocb;methiocarb;NA;
NA;NA;TClC1a;trichloormethaan (chloroform);Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;TClC2e;trichlooretheen (tri);Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;metocbsfn;methiocarbsulfon;NA;
NA;NA;metxrn;metoxuron;NA;
NA;NA;tefbzrn;teflubenzuron;Chloorfenoxyalkaanzuren (CFAZ);
NA;NA;MFySn;monofenyltin (kation);NA;
NA;NA;minrlole;minerale olie;NA;
NA;NA;Tfrlne;trifluraline;Diverse organische stoffen;
NA;NA;mmtn;metamitron;NA;
NA;NA;monrn;monuron;NA;
NA;NA;Tol;tolueen;Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;mzCl;metazachloor;NA;
NA;NA;NTA;nitrilotriazijnzuur (NTA);NA;
NA;NA;t12DClC2e;trans-1,2-dichlooretheen;Vluchtige organische koolwaterstoffen (VOC’s);
AANTPVLME;Aantal per volume;NVT;Waarde is niet van toepassing;NA;
NA;NA;T4ClC1a;tetrachloormethaan (tetra);Vluchtige organische koolwaterstoffen (VOC’s);
NA;NA;T4ClC2e;tetrachlooretheen (per);Vluchtige organische koolwaterstoffen (VOC’s);
